Occupation,Total fatal injuries (number),Violence and other injuries by persons or animals(3),Transportation incidents(4),Fires and explosions,"Falls, slips, trips",Exposure to harmful substances or environments,Contact with objects and equipment
Total,5486,849,2066,107,865,839,738
Management occupations,342,83,111,10,37,31,65
Top executives,34,8,17,–,5,–,–
Chief executives,15,–,9,–,–,–,–
Chief executives,15,–,9,–,–,–,–
General and operations managers,18,–,7,–,–,–,–
General and operations managers,18,–,7,–,–,–,–
"Advertising, marketing, promotions, public relations, and sales managers",20,6,6,–,1,4,1
Marketing and sales managers,17,–,–,–,1,4,1
Sales managers,17,–,–,–,1,4,1
Operations specialties managers,28,6,10,1,6,–,–
Administrative services and facilities managers,6,–,3,1,–,–,–
Industrial production managers,5,–,–,–,–,–,–
Industrial production managers,5,–,–,–,–,–,–
"Transportation, storage, and distribution managers",9,–,4,–,–,–,–
"Transportation, storage, and distribution managers",9,–,4,–,–,–,–
Other management occupations,260,63,78,7,25,23,61
"Farmers, ranchers, and other agricultural managers",148,14,60,–,11,6,48
"Farmers, ranchers, and other agricultural managers",148,14,60,–,11,6,48
Construction managers,32,6,12,–,–,–,7
Construction managers,32,6,12,–,–,–,7
Food service managers,21,10,–,–,–,7,–
Food service managers,21,10,–,–,–,7,–
Entertainment and recreation managers,3,–,1,–,–,–,–
Lodging managers,10,–,–,–,–,–,–
Lodging managers,10,–,–,–,–,–,–
Natural sciences managers,1,1,–,–,–,–,–
Natural sciences managers,1,1,–,–,–,–,–
"Property, real estate, and community association managers",11,7,–,–,1,–,–
"Property, real estate, and community association managers",11,7,–,–,1,–,–
Social and community service managers,4,–,–,–,–,–,–
Social and community service managers,4,–,–,–,–,–,–
Personal service managers,3,3,–,–,–,–,–
Miscellaneous managers,18,5,–,–,–,4,5
Business and financial operations occupations,32,8,10,–,9,–,–
Business operations specialists,20,–,6,–,–,–,–
"Claims adjusters, appraisers, examiners, and investigators",3,–,1,–,–,–,–
"Claims adjusters, examiners, and investigators",3,–,–,–,–,–,–
Human resources workers,5,–,–,–,–,–,–
Logisticians and project management specialists,3,–,–,–,–,–,–
Training and development specialists,4,–,–,–,–,–,–
Training and development specialists,4,–,–,–,–,–,–
Financial specialists,12,–,4,–,–,–,–
Accountants and auditors,5,–,1,–,–,–,–
Accountants and auditors,5,–,1,–,–,–,–
Computer and mathematical occupations,12,3,5,–,–,–,–
Computer specialists,12,3,5,–,–,–,–
Computer occupations,12,3,5,–,–,–,–
Computer support specialists,4,–,–,–,–,–,–
Computer network support specialists,3,–,–,–,–,–,–
Computer user support specialists,1,–,–,–,–,–,–
Database and network administrators and architects,5,–,–,–,–,–,–
Network and computer systems administrators,5,–,–,–,–,–,–
Architecture and engineering occupations,41,5,14,–,9,8,5
"Architects, surveyors, and cartographers",10,–,–,–,–,–,–
"Architects, except naval",3,–,–,–,–,–,–
"Surveyors, cartographers, and photogrammetrists",7,–,–,–,–,–,–
Surveyors,7,–,–,–,–,–,–
Engineers,21,–,8,–,5,3,–
Aerospace engineers,1,–,–,–,–,–,–
Aerospace engineers,1,–,–,–,–,–,–
Electrical and electronics engineers,4,–,–,–,–,–,–
Electrical engineers,4,–,–,–,–,–,–
Marine engineers and naval architects,1,–,–,–,–,1,–
Marine engineers and naval architects,1,–,–,–,–,1,–
Mechanical engineers,4,–,1,–,–,–,–
Mechanical engineers,4,–,1,–,–,–,–
"Drafters, engineering technicians, and mapping technicians",10,–,–,–,–,–,–
"Life, physical, and social science occupations",20,–,9,–,–,3,–
Physical scientists,6,–,–,–,–,–,–
"Life, physical, and social science technicians",9,–,3,–,–,–,–
Agricultural and food science technicians,1,–,–,–,–,–,–
Agricultural technicians,1,–,–,–,–,–,–
Chemical technicians,4,–,–,–,–,–,–
Chemical technicians,4,–,–,–,–,–,–
Occupational health and safety specialists and technicians,4,–,–,–,–,–,–
Occupational health and safety specialists and technicians,4,–,–,–,–,–,–
Occupational health and safety specialists,4,–,–,–,–,–,–
Community and social service occupations,19,8,6,–,–,–,–
"Counselors, social workers, and other community and social service specialists",15,7,–,–,–,–,–
Miscellaneous community and social service specialists,4,–,–,–,–,–,–
