Occupation,Occupation code,Total fatal injuries (number),Violence and other injuries by persons or animals,Transportation incidents,Fires and explosions,"Falls, slips, trips",Exposure to harmful substances or environments,Contact with objects and equipment
Total,,5486,849,2066,107,865,839,738
Management occupations,11-0000,342,83,111,10,37,31,65
Top executives,11-1000,34,8,17,0,5,0,0
Chief executives,11-1010,15,0,9,0,0,0,0
Chief executives,11-1011,15,0,9,0,0,0,0
General and operations managers,11-1020,18,0,7,0,0,0,0
General and operations managers,11-1021,18,0,7,0,0,0,0
"Advertising, marketing, promotions, public relations, and sales managers",Nov-00,20,6,6,0,1,4,1
Marketing and sales managers,20-Nov,17,0,0,0,1,4,1
Sales managers,22-Nov,17,0,0,0,1,4,1
Operations specialties managers,Nov-00,28,6,10,1,6,0,0
Administrative services and facilities managers,10-Nov,6,0,3,1,0,0,0
Industrial production managers,Nov-50,5,0,0,0,0,0,0
Industrial production managers,Nov-51,5,0,0,0,0,0,0
"Transportation, storage, and distribution managers",Nov-70,9,0,4,0,0,0,0
"Transportation, storage, and distribution managers",Nov-71,9,0,4,0,0,0,0
Other management occupations,Nov-00,260,63,78,7,25,23,61
"Farmers, ranchers, and other agricultural managers",10-Nov,148,14,60,0,11,6,48
"Farmers, ranchers, and other agricultural managers",13-Nov,148,14,60,0,11,6,48
Construction managers,20-Nov,32,6,12,0,0,0,7
Construction managers,21-Nov,32,6,12,0,0,0,7
Food service managers,Nov-50,21,10,0,0,0,7,0
Food service managers,Nov-51,21,10,0,0,0,7,0
Entertainment and recreation managers,Nov-70,3,0,1,0,0,0,0
Lodging managers,Nov-80,10,0,0,0,0,0,0
Lodging managers,Nov-81,10,0,0,0,0,0,0
Natural sciences managers,20-Nov,1,1,0,0,0,0,0
Natural sciences managers,21-Nov,1,1,0,0,0,0,0
"Property, real estate, and community association managers",Nov-40,11,7,0,0,1,0,0
"Property, real estate, and community association managers",Nov-41,11,7,0,0,1,0,0
Social and community service managers,Nov-50,4,0,0,0,0,0,0
Social and community service managers,Nov-51,4,0,0,0,0,0,0
Personal service managers,Nov-70,3,3,0,0,0,0,0
Miscellaneous managers,Nov-90,18,5,0,0,0,4,5
Business and financial operations occupations,13-0000,32,8,10,0,9,0,0
Business operations specialists,13-1000,20,0,6,0,0,0,0
"Claims adjusters, appraisers, examiners, and investigators",13-1030,3,0,1,0,0,0,0
"Claims adjusters, examiners, and investigators",13-1031,3,0,0,0,0,0,0
Human resources workers,13-1070,5,0,0,0,0,0,0
Logisticians and project management specialists,13-1080,3,0,0,0,0,0,0
Training and development specialists,13-1150,4,0,0,0,0,0,0
Training and development specialists,13-1151,4,0,0,0,0,0,0
Financial specialists,13-2000,12,0,4,0,0,0,0
Accountants and auditors,13-2010,5,0,1,0,0,0,0
Accountants and auditors,13-2011,5,0,1,0,0,0,0
Computer and mathematical occupations,15-0000,12,3,5,0,0,0,0
Computer specialists,15-1000,12,3,5,0,0,0,0
Computer occupations,15-1200,12,3,5,0,0,0,0
Computer support specialists,15-1230,4,0,0,0,0,0,0
Computer network support specialists,15-1231,3,0,0,0,0,0,0
Computer user support specialists,15-1232,1,0,0,0,0,0,0
Database and network administrators and architects,15-1240,5,0,0,0,0,0,0
Network and computer systems administrators,15-1244,5,0,0,0,0,0,0
Architecture and engineering occupations,17-0000,41,5,14,0,9,8,5
"Architects, surveyors, and cartographers",17-1000,10,0,0,0,0,0,0
"Architects, except naval",17-1010,3,0,0,0,0,0,0
"Surveyors, cartographers, and photogrammetrists",17-1020,7,0,0,0,0,0,0
Surveyors,17-1022,7,0,0,0,0,0,0
Engineers,17-2000,21,0,8,0,5,3,0
Aerospace engineers,17-2010,1,0,0,0,0,0,0
Aerospace engineers,17-2011,1,0,0,0,0,0,0
Electrical and electronics engineers,17-2070,4,0,0,0,0,0,0
Electrical engineers,17-2071,4,0,0,0,0,0,0
Marine engineers and naval architects,17-2120,1,0,0,0,0,1,0
Marine engineers and naval architects,17-2121,1,0,0,0,0,1,0
Mechanical engineers,17-2140,4,0,1,0,0,0,0
Mechanical engineers,17-2141,4,0,1,0,0,0,0
"Drafters, engineering technicians, and mapping technicians",17-3000,10,0,0,0,0,0,0
"Life, physical, and social science occupations",19-0000,20,0,9,0,0,3,0
Physical scientists,19-2000,6,0,0,0,0,0,0
"Life, physical, and social science technicians",19-4000,9,0,3,0,0,0,0
Agricultural and food science technicians,19-4010,1,0,0,0,0,0,0
Agricultural technicians,19-4012,1,0,0,0,0,0,0
Chemical technicians,19-4030,4,0,0,0,0,0,0
Chemical technicians,19-4031,4,0,0,0,0,0,0
Occupational health and safety specialists and technicians,19-5000,4,0,0,0,0,0,0
Occupational health and safety specialists and technicians,19-5010,4,0,0,0,0,0,0
Occupational health and safety specialists,19-5011,4,0,0,0,0,0,0
Community and social service occupations,21-0000,19,8,6,0,0,0,0
"Counselors, social workers, and other community and social service specialists",21-1000,15,7,0,0,0,0,0
Miscellaneous community and social service specialists,21-1090,4,0,0,0,0,0,0
Religious workers,21-2000,4,1,0,0,0,0,0
Legal occupations,23-0000,11,6,0,0,0,0,0
Educational instruction and library occupations,25-0000,28,0,6,0,10,0,0
Postsecondary teachers,25-1000,8,0,0,0,0,0,0
Miscellaneous postsecondary teachers,25-1190,3,0,0,0,0,0,0
"Career/technical education teachers, postsecondary",25-1194,1,0,0,0,0,0,0
Other teachers and instructors,25-3000,6,0,0,0,0,0,0
Self-enrichment teachers,25-3020,3,0,0,0,0,0,0
Self-enrichment teachers,25-3021,3,0,0,0,0,0,0
"Arts, design, entertainment, sports, and media occupations",27-0000,49,13,24,0,0,6,0
Art and design workers,27-1000,13,3,0,0,0,6,0
Artists and related workers,27-1010,6,3,0,0,0,0,0
Designers,27-1020,7,0,0,0,0,0,0
Graphic designers,27-1024,3,0,0,0,0,0,0
"Entertainers and performers, sports and related workers",27-2000,29,0,19,0,0,0,0
"Actors, producers, and directors",27-2010,3,0,0,0,0,0,0
Producers and directors,27-2012,3,0,0,0,0,0,0
"Athletes, coaches, umpires, and related workers",27-2020,15,0,0,0,0,0,0
Athletes and sports competitors,27-2021,12,0,0,0,0,0,0
Coaches and scouts,27-2022,3,0,0,0,0,0,0
"Musicians, singers, and related workers",27-2040,7,0,5,0,0,0,0
Musicians and singers,27-2042,7,0,5,0,0,0,0
"Miscellaneous entertainers and performers, sports and related workers",27-2090,4,0,1,0,0,0,0
Healthcare practitioners and technical occupations,29-0000,65,25,20,0,4,16,0
Healthcare diagnosing or treating practitioners,29-1000,44,21,9,0,4,10,0
Therapists,29-1120,3,0,3,0,0,0,0
Veterinarians,29-1130,3,0,0,0,0,0,0
Veterinarians,29-1131,3,0,0,0,0,0,0
Registered nurses,29-1140,20,7,0,0,0,7,0
